,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
19,01-01-2019 00:12,4.95683E+18,"fraud_Schultz, Simonis and Little",grocery_pos,44.71,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,21-12-1980,09eff9c806365e2a6be12c1bbab3d70e,1325376754,40.079588,-74.848087,0
20,01-01-2019 00:13,4.46978E+18,fraud_Bauch-Raynor,grocery_pos,57.34,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,22-11-1980,139a1bee15be607d79fe173bfcb2502a,1325376788,42.26876,-71.217297,0
21,01-01-2019 00:14,2.30534E+15,fraud_Harris Inc,gas_transport,50.79,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,14-02-1961,b9c4615bec3561c8e83b0c1d6c7028e2,1325376877,40.18893,-91.955115,0
22,01-01-2019 00:17,1.80048E+14,fraud_Kling-Grant,grocery_net,46.28,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,19-07-1974,19e23c6a300c774354417befe4f31f8c,1325377036,40.021888,-74.228188,0
23,01-01-2019 00:17,6.30442E+11,fraud_Pacocha-Bauch,shopping_pos,9.55,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,26-07-1965,c4b4daebab8be54cadde4b941244ca53,1325377060,31.62635,-98.610225,0
24,01-01-2019 00:18,4.42878E+18,fraud_Lesch Ltd,shopping_pos,22.95,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",02-01-1946,d2432bfeabf142dc1bae1d426e32aecc,1325377086,43.375041,-89.055065,0
25,01-01-2019 00:18,3.43464E+14,fraud_Kunde-Sanford,misc_net,2.55,Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,13-08-1962,abe0676c18f34fa305b113fa762e29b5,1325377087,36.74987,-78.67787,0
26,01-01-2019 00:20,3.7493E+14,fraud_Deckow-O'Conner,grocery_pos,64.09,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,05-11-1971,6f363661ba6b55889e488dd178f2a0af,1325377215,42.360426,-83.552316,0
27,01-01-2019 00:21,4.33423E+15,fraud_Bruen-Yost,misc_pos,6.85,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",02-08-1967,f3c43d336e92a44fc2fb67058d5949e3,1325377292,43.753735,-111.454923,0
28,01-01-2019 00:22,4.22599E+18,fraud_Kunze Inc,grocery_pos,90.22,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,03-12-1966,95826e3caa9e0b905294c6dae985aec1,1325377326,19.560013,-156.045889,0
29,01-01-2019 00:22,4.26006E+15,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,4.02,Aaron,Rogers,M,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,15-03-1945,20490f3f0966ce74b4aaba8dc2c4ed52,1325377338,42.47559,-101.265846,0
30,01-01-2019 00:22,1.80095E+14,"fraud_Kihn, Abernathy and Douglas",shopping_net,3.66,Tammie,Harper,F,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,19-05-1961,870c92b288a974a2faf1f24b05c27e33,1325377356,44.278191,-121.815161,0
31,01-01-2019 00:22,4.59974E+18,"fraud_Heller, Gutmann and Zieme",grocery_pos,82.8,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,30-12-1964,cb598ec00d349dc95e7b3c18de5ae800,1325377359,36.294205,-89.811282,0
32,01-01-2019 00:22,6.30413E+11,fraud_Torphy-Goyette,shopping_pos,66.21,Heather,Stanton,F,445 Jerry Lights Apt. 081,Republic,MI,49879,46.368,-87.9938,1038,Armed forces training and education officer,22-04-1964,20f048d3907dbb9978e23bee7b7578ce,1325377364,46.412038,-88.516663,0
33,01-01-2019 00:23,2.71221E+15,fraud_Balistreri-Nader,misc_pos,25.58,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",22-02-1977,1654da2abfb9e79a5f99167fc9779558,1325377421,29.737426,-90.853194,0
34,01-01-2019 00:23,3.74125E+14,"fraud_Bahringer, Schoen and Corkery",shopping_pos,9.03,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",20-07-1970,c733711c521c41c578f4a964d8350df0,1325377438,38.880898,-76.441116,0
35,01-01-2019 00:25,3.49613E+14,fraud_Hudson-Ratke,grocery_pos,99,Xavier,Beltran,M,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,"Psychologist, forensic",04-06-1984,7e2f9596cb3a3595ece15611ee338e5c,1325377546,36.823545,-83.90104,0
36,01-01-2019 00:26,3.59822E+15,fraud_Heidenreich PLC,grocery_pos,207.36,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",21-10-1970,f246ac27c09429ff1e385d4683c79c4d,1325377582,40.202538,-73.859212,0
37,01-01-2019 00:27,2.13142E+14,fraud_Halvorson Group,misc_pos,181.35,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,24-12-1984,7bb25a43205191eb7344282b88fc54d3,1325377665,31.939812,-90.726209,0
38,01-01-2019 00:27,3.05612E+13,fraud_Harber Inc,gas_transport,82.22,Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",01-10-1998,61bcb858dd5c8e2d0d46d02b4fa0bf8e,1325377676,40.586238,-75.802249,0
39,01-01-2019 00:29,4.78991E+15,"fraud_Mosciski, Gislason and Mertz",grocery_pos,221.81,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",27-04-1988,a8394c3e555166ce2f90eee628bd9ade,1325377751,40.011959,-72.594808,0
40,01-01-2019 00:30,6.76373E+11,"fraud_Christiansen, Goyette and Schamberger",gas_transport,53.6,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,18-07-1987,f1566e9623814dd277dfa2a9bf83ea36,1325377849,40.332519,-99.062962,0
41,01-01-2019 00:31,3.00115E+13,fraud_Howe Ltd,misc_pos,54.02,Lisa,Garcia,F,213 Gill Expressway,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,14-10-1971,8d11abad6bc3501f9994f061e3a5b730,1325377861,42.041783,-73.076424,0
42,01-01-2019 00:31,4.64226E+15,fraud_Ledner-Pfannerstill,gas_transport,102.13,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",23-04-1987,47238da5b40d126c8abea40a857c7809,1325377911,39.807313,-109.348294,0
43,01-01-2019 00:32,3.00747E+13,fraud_Lockman Ltd,grocery_pos,212.75,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,16-08-1993,d9dcde500bed2cad48ee41e44c362596,1325377935,38.862183,-101.234087,0
44,01-01-2019 00:32,1.80068E+14,fraud_Koepp-Witting,grocery_pos,130.4,Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,06-01-1942,14a6e29ac65424550ea7e7c9f551dbb8,1325377935,42.236269,-88.397336,0
45,01-01-2019 00:32,2.13127E+14,fraud_Doyle Ltd,grocery_pos,91.16,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,28-01-1971,685bcca9eb5ce554134d7242d564ecc9,1325377967,27.588953,-99.816911,0
46,01-01-2019 00:33,2.26674E+15,"fraud_Schaefer, Maggio and Daugherty",gas_transport,55.78,Carlos,Chung,M,8957 Russell Key,Grant,AL,35747,34.4959,-86.259,5901,Curator,25-07-1972,392529cae1f1f1647093732a8f319c50,1325378031,35.255978,-86.041872,0
47,01-01-2019 00:34,3.55363E+15,fraud_Stracke-Lemke,grocery_pos,83.07,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",01-09-1984,9b7a0619dcc5c572dc134f2827ed5a6b,1325378050,48.682111,-122.719904,0
48,01-01-2019 00:36,3.51106E+15,"fraud_Mosciski, Ziemann and Farrell",shopping_net,4.38,Briana,Santos,F,702 Tabitha Drive,New Goshen,IN,47863,39.5803,-87.4616,205,"Engineer, mining",06-01-1960,f1e1ad954f49955c37b45eb71b2d1642,1325378172,39.681736,-88.323862,0
49,01-01-2019 00:36,4.11027E+18,fraud_Cartwright-Harris,grocery_pos,130.89,Sandra,Schwartz,F,3789 Mark Walks,Sunflower,MS,38778,33.5567,-90.5451,1686,"Education officer, community",06-11-1986,e02fd7d82af517718f83a3f05077d435,1325378218,33.595647,-90.234118,0
50,01-01-2019 00:37,4.26578E+15,fraud_Pacocha-O'Reilly,grocery_pos,103,Christine,Best,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",05-01-1954,289789e617eece42a9cafe36680b1b69,1325378238,35.034285,-92.34301,0
51,01-01-2019 00:39,3.58379E+15,fraud_Pfeffer LLC,grocery_net,50.82,Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,27-09-1970,64a6d4be2510d764cbd869cd2a57a4fd,1325378362,34.852665,-98.90267,0
52,01-01-2019 00:39,2.13194E+14,fraud_Huels-Hahn,gas_transport,60.77,James,Hunt,M,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,45.7549,-84.447,95,Electrical engineer,09-02-1994,211c26efcb0ed5e87d4700daee23e070,1325378377,45.323099,-85.116543,0
53,01-01-2019 00:39,60495593109,fraud_Volkman PLC,food_dining,122.86,Randall,Dillon,M,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,24-11-1942,7d68e49b63d845b808108fcd41c15877,1325378383,32.282224,-97.46183,0
54,01-01-2019 00:40,4.72584E+18,fraud_Kiehn-Emmerich,grocery_pos,212.45,Elizabeth,Mckee,F,358 Pruitt Square,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,05-11-1994,88fde595524ba43924f36bd397b86413,1325378444,31.414174,-87.138632,0
55,01-01-2019 00:40,3.04043E+13,fraud_Kemmer-Buckridge,misc_pos,7.33,Savannah,Lewis,F,537 Walker Freeway,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,25-10-1993,01620e8ae84989a6f95581855e49da99,1325378448,43.1763,-77.901777,0
56,01-01-2019 00:40,2.13179E+14,fraud_Cummerata-Jones,gas_transport,70.53,Shawn,King,M,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,18-10-1976,7b91bd200c11c5cd24b43694e12b5bbc,1325378450,46.043252,-117.962133,0
57,01-01-2019 00:40,2.35628E+15,"fraud_Goldner, Kovacek and Abbott",grocery_pos,58.26,Benjamin,Harris,M,0881 Lori Pines,Chester,MD,21619,38.9583,-76.2842,5848,Paediatric nurse,15-02-1981,d94f89d7360cd6bade6cf1b73d003e8f,1325378458,39.240962,-76.712732,0
58,01-01-2019 00:41,3.56874E+15,fraud_Spinka-Welch,grocery_net,50.45,Thomas,Cross,M,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,13-03-1974,16e0d3920a0e896a70fa54e7162165c0,1325378503,41.776673,-93.350689,0
59,01-01-2019 00:41,4.64226E+15,fraud_Huel-Langworth,misc_net,177.57,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",23-04-1987,048dc7fc7ae8efd51f59f7176e6a8bd7,1325378505,38.419431,-109.380252,0
60,01-01-2019 00:42,4.50914E+15,fraud_Macejkovic-Lesch,shopping_pos,8.57,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",12-07-1926,70ed1a189a6bce479e564b120f2379d9,1325378546,32.023302,-82.58345,0
61,01-01-2019 00:43,3.54756E+15,fraud_Corwin-Collins,gas_transport,56.66,Jerry,Robinson,M,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",21-12-1966,144d8b04f90eb30e8df105a091212d99,1325378618,44.00529,-86.25199,0
62,01-01-2019 00:44,4.43309E+15,fraud_Morar Inc,grocery_net,75.34,Linda,Davis,F,493 Todd Views,Gaithersburg,MD,20882,39.2335,-77.1458,135332,Clinical biochemist,28-03-1936,d6b7e57ba04fbb046f93a87301e493cb,1325378660,38.817293,-77.833468,0
63,01-01-2019 00:44,2.72043E+15,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,62.54,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",22-08-1997,2eb55ba0572d67a64baaa8c463878d8c,1325378683,43.585423,-70.449359,0
64,01-01-2019 00:45,4.71656E+15,"fraud_Huel, Hammes and Witting",grocery_pos,92.84,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,04-05-1972,985ebf94aa7a3beeb927d07f77f0354c,1325378713,49.080153,-113.53238,0
65,01-01-2019 00:46,3.53692E+15,"fraud_Ferry, Lynch and Kautzer",misc_net,2.76,Michelle,Juarez,F,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,12-06-1955,70ca7fe41f09770d724a027152dcb9f0,1325378778,37.548452,-121.536454,0
66,01-01-2019 00:47,3.52567E+15,fraud_Heathcote LLC,shopping_net,101.35,Christopher,Choi,M,04611 Sandra Spring Suite 059,Rumely,MI,49826,46.3481,-87.0436,137,Film/video editor,13-08-1990,dab9571cce549056d3c6fedc525ccf23,1325378875,46.796891,-86.331091,0
